...1,1990,2000,2012,2013,2014,2015,2016,2017,2018,2019,...12,2020,2021
Mariana,..,..,50.8,52.1,52.5,53.0,71.7,69.3,50.8,42.0,,..,..
Noruega,39.4,45.7,40.7,39.2,39.0,37.8,35.5,36.3,38.0,36.3,,32.2,..
Omán,47.2,60.3,62.7,66.0,61.4,49.7,41.3,45.7,50.6,49.5,,44.2,..
Pakistán,14.8,12.1,12.4,13.3,12.2,10.6,9.1,8.3,9.0,10.1,,10.0,..
Palau,..,..,..,..,..,..,..,..,..,..,,..,..
Panamá,57.5,62.0,75.2,65.2,55.4,47.7,42.0,41.8,42.8,41.2,,39.6,..
Papua Nueva Guinea,40.6,66.2,..,..,..,..,..,..,..,..,,..,..
Paraguay,52.2,43.3,38.0,38.7,35.5,34.8,37.2,38.4,36.9,36.2,,33.5,..
Perú,15.7,16.8,27.4,24.8,22.6,21.3,22.6,24.7,25.2,23.9,,22.3,..
Filipinas,19.4,43.3,27.5,26.2,27.4,27.2,26.7,29.6,30.2,28.4,,25.2,..
Polonia,..,27.2,44.3,46.0,47.2,49.1,51.9,54.2,55.2,55.4,,56.2,..
Portugal,29.2,28.2,37.8,39.6,40.2,40.6,40.2,42.7,43.4,43.5,,37.0,..
Puerto Rico,63.1,62.3,57.5,60.9,60.8,67.2,68.8,68.7,60.0,..,,..,..
Qatar,..,67.3,76.5,72.7,68.0,57.1,47.7,52.9,55.9,52.2,,49.1,..
Rumania,16.7,21.6,37.5,40.0,41.4,41.4,41.8,42.0,41.9,40.4,,37.3,..
Federación de Rusia,18.2,44.1,26.9,25.8,27.1,28.7,25.9,26.1,30.8,28.5,,25.5,..
Rwanda,5.6,5.4,12.0,13.5,13.9,13.2,15.4,20.5,21.1,21.8,,19.0,..
Samoa,..,..,28.4,29.1,29.0,28.4,30.4,31.5,34.2,37.7,,31.6,..
San Marino,..,..,..,..,..,174.5,173.1,168.8,166.6,164.0,,..,..
Santo Tomé y Príncipe,..,..,..,..,..,..,..,..,..,..,,..,..
Arabia Saudita,40.3,43.4,54.3,51.9,46.9,33.3,31.1,34.9,40.0,36.0,,26.3,..
Senegal,17.1,17.8,22.5,22.3,21.8,22.7,21.6,21.9,22.9,24.3,,20.6,..
Serbia,..,8.8,35.8,39.9,42.1,45.2,48.5,50.5,50.4,51.0,,48.2,..
Seychelles,15.3,75.5,99.3,90.8,88.0,81.1,80.7,88.4,86.2,83.5,,74.6,..
Sierra Leona,34.7,18.1,32.9,28.6,30.8,19.4,24.9,26.2,17.5,18.2,,15.1,..
Singapur,177.2,188.4,196.7,195.1,192.0,178.4,164.7,171.1,177.1,175.9,,176.2,..
Sint Maarten (Dutch part),..,..,113.3,121.3,100.5,97.4,92.5,78.3,67.5,..,,..,..
República Eslovaca,23.8,53.2,91.2,93.8,91.7,91.9,93.8,95.3,96.3,92.3,,85.4,..
Eslovenia,..,50.1,72.9,74.2,76.2,77.1,77.6,83.1,84.8,84.0,,77.9,..
Islas Salomón,46.4,27.1,52.0,44.6,42.4,40.2,40.2,41.0,43.5,37.5,,27.5,..
Somalia,9.8,..,..,20.6,20.9,19.5,19.3,17.7,19.1,17.5,,16.9,..
Sudáfrica,23.5,24.4,27.1,28.4,29.0,27.7,28.2,27.3,27.5,27.3,,27.8,..
Sudán del Sur,..,..,42.8,9.7,38.4,36.7,..,..,..,..,,..,..
España,15.7,28.6,31.5,33.0,33.5,33.6,33.9,35.1,35.2,35.0,,30.6,..
Sri Lanka,30.2,39.0,19.8,20.3,21.1,21.0,21.2,21.8,23.0,23.1,,16.6,..
Saint Kitts y Nevis,..,..,..,..,..,..,..,..,..,..,,..,..
Santa Lucía,..,..,..,..,..,..,..,..,..,..,,..,..
Isla de San Martín (parte francesa),..,..,..,..,..,..,..,..,..,..,,..,..
San Vicente y las Granadinas,..,..,..,..,..,..,..,..,..,..,,..,..
Sudán,4.0,16.0,12.1,11.7,0.7,0.7,0.7,0.7,0.6,0.6,,0.4,..
Suriname,..,..,..,..,..,..,..,..,..,..,,..,..
Suecia,27.9,43.3,45.0,42.5,43.3,43.8,42.7,43.7,45.7,47.8,,44.6,..
Suiza,41.4,51.3,67.4,71.4,63.8,62.4,65.7,65.1,66.2,65.5,,62.3,..
República Árabe Siria,28.3,36.1,7.7,7.8,7.0,7.1,9.3,9.0,14.9,12.7,,..,..
Tayikistán,..,86.8,17.3,11.1,9.2,..,..,14.9,14.4,15.0,,17.0,..
Tanzanía,12.6,10.8,22.4,19.0,18.1,17.1,16.3,15.1,14.7,16.0,,14.3,..
Tailandia,34.1,64.8,69.0,67.2,68.4,67.6,67.1,66.7,64.9,59.5,,51.5,..
Timor-Leste,..,10.6,7.1,5.6,4.6,3.0,3.1,2.4,2.9,27.7,,68.7,..
Togo,33.5,28.2,45.2,46.5,39.7,35.8,26.9,25.3,23.9,23.1,,21.8,..
Tonga,33.9,14.3,17.1,20.4,17.0,17.0,21.7,22.2,21.4,22.0,,19.0,..
Trinidad y Tobago,..,..,..,..,..,..,..,..,..,..,,..,..
Túnez,43.6,39.7,45.9,44.9,42.9,38.4,38.2,41.7,45.7,..,,..,..
Turquía,13.4,19.9,24.4,23.8,25.2,24.5,23.1,26.0,31.2,32.6,,28.7,..
Turkmenistán,..,55.2,58.8,49.8,46.8,35.7,22.2,22.5,22.7,..,,..,..
Islas Turcas y Caicos,..,..,..,..,..,..,..,..,..,..,,..,..
Tuvalu,..,..,..,..,..,..,..,..,..,..,,..,..
Uganda,7.2,10.7,15.5,16.5,14.9,12.9,12.4,16.7,15.1,17.1,,15.4,..
Ucrania,27.7,60.3,47.4,42.9,48.6,52.6,49.3,48.1,45.2,41.2,,39.1,..
Emiratos Árabes Unidos,..,..,100.2,100.5,99.6,100.9,101.0,99.6,93.0,96.8,,..,..
Reino Unido,23.1,25.3,29.9,29.8,28.1,27.2,28.2,30.0,30.5,31.0,,28.1,..
Estados Unidos,9.3,10.7,13.7,13.6,13.6,12.4,11.9,12.2,12.3,11.8,,10.1,..
Uruguay,23.5,16.7,25.9,23.4,23.5,22.5,27.0,26.1,26.4,27.8,,25.4,..
Uzbekistán,..,24.7,19.3,18.6,16.0,13.8,12.3,20.7,27.0,28.4,,24.3,..
Vanuatu,44.2,39.2,51.3,51.7,51.4,46.0,48.9,47.7,56.6,41.1,,17.8,..
Venezuela,38.2,29.7,26.2,24.8,16.7,..,..,..,..,..,,..,..
Viet Nam,36.0,53.9,80.0,83.6,86.4,89.8,93.6,101.6,105.8,106.8,,105.5,..
Islas Vírgenes (EE.UU.),..,..,80.2,67.5,78.4,41.6,47.0,63.3,53.5,54.2,,..,..
Ribera Occidental y Gaza,..,20.5,15.3,15.6,15.8,16.1,14.3,15.7,16.0,15.5,,16.0,..
"Yemen, Rep. del",..,..,24.9,22.4,21.5,9.1,3.3,3.7,6.1,..,,..,..
Zambia,..,23.9,40.1,40.5,38.8,37.1,35.3,35.0,38.0,34.6,,46.8,..
Zimbabwe,22.9,38.2,25.2,22.0,20.9,19.2,19.9,19.7,28.0,31.3,,37.2,..
"Creado a partir de Indicadores del desarrollo mundial
Series : Exports of goods and services (% of GDP)",,,,,,,,,,,,,
